PMID/DOI,FILE_NAME,SOURCE,TITLE,INFORMATION
https://doi.org/10.1101/2020.03.14.988345,Wang_et.al_2020,biorxiv,SARS-CoV-2 invades host cells via a novel route: CD147-spike protein,Discovery of the new route CD147-SP for SARS-CoV-2 invading host cells provides a critical target for development of specific antiviral drugs.
https://doi.org/10.1101/2020.03.21.990770,Ju_et.al_2020,bioRxiv,Potent human neutralizing antibodies elicited by SARS-CoV-2 infection,Identified certain potent neutralizing antibodies as promising candidates for prophylactic and therapeutic SARS-CoV-2 interventions
https://doi.org/10.1101/2020.03.22.002386,Gordon_et.al_2020 | SIF2BEL_RK,bioRxiv,A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Repurposing,"Potential protein-protein interaction, along with biological pathway information, made by the virus proteins to infect health cells"
https://doi.org/10.1101/2020.03.31.017889,Pizzorno_et.al_2020,bioRxiv,Characterization and treatment of SARS-CoV-2 in nasal and bronchial human airway epithelia,Characterizing SARS-CoV-2 infection using human airway epithelial model
https://doi.org/10.1101/2020.03.31.019216,Li_J_et.al_2020,bioRxiv,Virus-host interactome and proteomic survey of PMBCs from COVID-19 patients reveal potential virulence factors influencing SARS-CoV-2 pathogenesis,Different pathogenesis pathways of Covid-19
https://doi.org/10.1101/2020.04.04.020925,Rodrigues_et.al_2020,bioRxiv,Atazanavir inhibits SARS-CoV-2 replication and pro-inflammatory cytokine production,Antiviral effects of atazanavir
https://doi.org/10.1101/2020.04.14.041228,Rothan_et.al_2020,bioRxiv,The FDA-approved gold drug Auranofin inhibits novel coronavirus (SARS-COV-2) replication and attenuates inflammation in human cells,Role of Auranofin drug on Huh7 cell infected with SARS-Cov2
https://doi.org/10.1101/2020.05.02.074021,Zhu_et.al_2020,bioRxiv,An artificial intelligence system reveals liquiritin inhibits SARS-CoV-2 by mimicking type I interferon,Liquiritin inhibits SARS-CoV-2
https://doi.org/10.20944/preprint202003.0239.v1,Huang_et.al_2020,PrePrints,Virtual Screening and Molecular Dynamics on Blockage of Key Drug Targets as Treatment for COVID-19 Caused by SARS-CoV-2,Docking analysis of drugs against AntiCov
https://doi.org/10.20944/preprints202003.0206.v1,Nehzad_et.al_2020,Preprint,Therapeutic Approaches for COVID-19 Based on the Dynamics of Interferon-mediated Immune Responses,Therapeutic Approaches for COVID-19
https://doi.org/10.20944/preprints202003.0286.v1,Li_et.al_2020,Preprints,Network bioinformatics analysis provides insight into drug repurposing for COVID-2019,Drug repurposing based on antiviral effect different coronavirus
https://doi.org/10.20944/preprints202003.0422.v1,Tetz_et.al_2020,Preprints.org,SARS-CoV-2 Prion-Like Domains in Spike Proteins Enable Higher Affinity to ACE2,The presence of Prion like domains in the RBD of SARS-CoV-2 enhances viral binding to its host receptor compared to that of SARS-CoV.
https://doi.org/10.20944/preprints202003.0457.v1,Jazzi_et.al_2020,Preprints,Inhibition of Viral Macrodomain of COVID-19 and Human TRPM2 by losartan,"The inhibitory effect of losartan on PARP has been shown and it could interfere positively in several points (PARP, PARG- macrodomain and TRPM2) and decreases oxidative stress and apoptosis in COVID-19."
https://doi.org/10.20944/preprints202003.0466.v1,Omotuyi_et.al_2020,Preprints.org,The Disruption of SARS-CoV-2 RBD/ACE-2 Complex by Ubrogepant Is Mediated by Interface Hydration,Ubrogepant rupture the interaction at the RBD/ACE-2 interface residues of SARS-CoV-2 RBD/ACE-2  complex results in loss of function
https://doi.org/10.21203/rs.3.rs-19182/v1,Guo_et.al_2020,Researchsquare,Increased circulating microparticles and inflammatory factors aggravate coronavirus disease 2019 (COVID-19),"Levels of cMP, IL-6, IL-8 and IL-10 are increased in the severe case of COVID-19 patients"
https://doi.org/10.26434/chemrxiv.11860011.v2,Arya_et.al_2020,ChemRxiv,Potential inhibitors against papain-like protease of novel coronavirus(SARS-CoV-2)from FDA approved drugs,"Sixteen FDA approved drugs, including chloroquine and formoterol, was found to bind the target enzyme with significant affinity and good geometry, suggesting their potential to be utilized against the virus."
https://doi.org/10.26434/chemrxiv.11935722,Shaghaghi_et.al_2020,ChemRxiv,Molecular Docking Study of Novel COVID-19 Protease with Low Risk Terpenoides Compounds of Plants,Terpenoids effectively inhibit the virus protease(COVID-19).
https://doi.org/10.26434/chemrxiv.11938173.v5,Liu_et.al_2020,ChemRxiv,COVID-19: Attacks the 1-Beta Chain of Hemoglobin and Captures the Porphyrin to Inhibit Human Heme Metabolism,"ORF1ab, ORF8, ORF3a and ORF10 binds to porphyrin and alter heme metabolism"
https://doi.org/10.26434/chemrxiv.12084822.v2,Balasubramaniam_et.al_2020,ChemRxiv,"Computational target-based drug repurposing of elbasvir, an antiviral drug predicted to bind multiple SARS-CoV-2 proteins",In silico study of antiviral effect of elbasvir by binding to SARS-CoV-2 proteins
